,index,date,open,high,low,close,volume,normalised_price,lmax,lmin,rsi,stoch_k,stoch_d,ema,target
8,8,2022-06-17 16:00:00,367.955,368.06,365.68,365.84,14519673.0,0.06722689075628928,,,37.688442211055104,82.66870077624465,72.85418411523479,366.33,1
9,9,2022-06-17 15:30:00,367.48,368.2299,365.65,367.94,7684671.0,0.8876313035389016,367.94,,71.75398633257404,83.84031673008448,80.98314640214872,366.3566666666666,1
10,10,2022-06-17 15:00:00,367.75,369.0,366.98,367.46,6034651.0,0.23762376237622063,,,62.78729203107817,78.3258355965315,81.61161770095354,366.39296296296294,1
11,11,2022-06-17 14:30:00,367.26,368.67,367.1,367.75,4463434.0,0.4140127388534905,,,65.74314311851019,78.45169188385577,80.20594807015725,366.40119341563786,1
12,12,2022-06-17 14:00:00,367.27,367.83,366.23,367.2599,4577444.0,0.6436875000000124,,,56.99865249445195,62.73189979822727,73.1698090928715,366.3631726566072,1
13,13,2022-06-17 13:30:00,365.72,368.75,365.4526,367.23,5488930.0,0.5390307515011857,,,56.474909736004086,53.6158617747373,64.93315115227344,366.31580095513897,1
14,14,2022-06-17 13:00:00,365.77,366.2306,364.97,365.71,3871289.0,0.5870220529906229,,,36.81909946748821,38.8411003461478,51.729620639704116,366.3767340762192,1
15,15,2022-06-17 12:30:00,364.81,366.02,364.03,365.78,4222999.0,0.8793969849246192,,,37.95563790668457,35.180951935657525,42.54597135218087,366.45079317039267,1
16,16,2022-06-17 12:00:00,366.46,367.26,364.45,364.78,5192242.0,0.11743772241992306,,,29.339004786096424,23.776128191108604,32.59939349097131,366.31506135474984,1
17,17,2022-06-17 11:30:00,363.57,366.8108,362.8,366.45,7587405.0,0.9100428842126291,,,50.699833968559695,38.10354650334692,32.35354221003769,366.6761588314721,1
18,18,2022-06-17 11:00:00,364.57,364.95,362.17,363.54,10122593.0,0.49280575539568994,,363.54,31.64755353893832,34.716629650761405,32.19876811507231,366.8503457578116,0
19,19,2022-06-17 10:30:00,368.41,368.59,364.12,364.58,7536544.0,0.1029082774049178,,,40.74278874242873,41.93299975125944,38.25105863512259,367.05026892274236,1
20,20,2022-06-17 10:00:00,365.51,369.38,365.43,368.39,9564028.0,0.7493670886075919,,,61.94418557825503,50.241177391247504,42.29693559775612,367.0968536065774,1
21,21,2022-06-17 09:30:00,367.19,367.23,365.42,365.49,1282014.0,0.03867403314916745,,,47.24110641124544,56.61838942394233,49.59752218881643,367.12644169400465,1
22,22,2022-06-17 09:00:00,368.63,368.85,367.01,367.24,515709.0,0.12500000000000772,,,54.662674013388866,67.54507628294036,58.13488103271007,366.8116768731147,1
23,23,2022-06-17 08:30:00,368.35,369.5,366.7,368.66,336131.0,0.7000000000000102,,,59.89442386465031,66.91759173803442,63.69368581497237,366.58241534575586,1
24,24,2022-06-17 08:00:00,369.27,369.5,368.1,368.58,235193.0,0.3428571428571208,,,59.45269457037211,77.38553295983041,70.61606699360172,366.1818786022545,1
25,25,2022-06-17 07:30:00,368.46,369.24,368.2,369.24,138543.0,1.0,369.24,,62.0889161230363,85.1550161576403,76.48604695183504,366.24146113508687,1
26,26,2022-06-17 07:00:00,368.63,369.1,368.11,368.37,70390.0,0.26262626262625105,,,56.55005816624755,76.90709617180205,79.81588176309091,365.6411364384009,1
27,27,2022-06-17 06:30:00,368.69,368.86,368.26,368.59,49073.0,0.5499999999999526,,,57.642091836417805,73.59010270774967,78.55073834573068,365.4053283409785,1
28,28,2022-06-17 06:00:00,369.0,369.04,367.57,368.75,40438.0,0.8027210884353639,,,58.50883750771383,62.76091783863792,71.08603890606321,366.06858870964993,1
29,29,2022-06-17 05:30:00,368.5,369.36,368.5,369.02,25687.0,0.6046511627906669,,,60.08405079573447,69.88182765507784,68.7442827338218,365.9400134408388,1
30,30,2022-06-17 05:00:00,368.7,369.51,368.39,368.6,48073.0,0.18750000000003172,,,56.285173663156996,65.07942215679685,65.90738921683754,366.2288993428746,1
31,31,2022-06-17 04:30:00,367.67,368.91,367.67,368.67,50736.0,0.8064516129032199,,,56.80536906259389,63.59980034172324,66.18701671786599,366.7691439333469,1
